Word,SUBTLWF
Frigidaire,0.24
Germain,0.22
Goshen,0.14
Harrow,0.18
Hungarians,0.35
Ids,0.14
Kabbalah,0.16
Lc,0.27
Lister,0.24
Lucite,0.16
Mig,0.47
Minster,0.14
Mol,0.14
Momo,0.75
Msg,0.20
Newburg,0.14
Outrigger,0.31
Ponderosa,0.20
Pygmalion,0.22
Rance,1.10
Redd,0.27
Sant,0.22
Schwarz,0.24
Shabbat,0.35
Socratic,0.14
Topsy,0.47
Walla,0.41
Zak,1.49
Airedale,0.12
Alp,0.12
Amalgamated,0.12
Anc,0.20
Brannigan,0.59
Casbah,0.16
Chippendale,0.16
Chows,0.14
Corinthian,0.12
Cuidado,0.27
Derry,0.63
Dominus,0.22
Durant,0.59
Ecch,0.20
Fagin,0.12
Flatiron,0.12
Fords,0.43
Frazer,0.20
Ger,1.35
Guan,0.20
Hallows,0.27
Hearken,0.12
Iq,0.12
Mideast,0.14
Mim,0.61
Miro,0.55
Morg,0.92
Naa,0.14
Nikon,0.25
Obstetrics,0.14
Oooo,0.12
Pape,0.18
Pinecone,0.25
Pinewood,0.29
Politburo,0.16
Praetorian,0.20
Ras,0.18
Roc,0.29
Senegalese,0.12
Sharky,0.24
Sunglass,0.14
Superwoman,0.33
Timberland,0.12
Toa,3.08
Twitty,0.39
Volta,0.25
Zionist,0.12
Beanery,0.10
Bearcat,0.12
Belcher,0.22
Belie,0.18
Biggy,0.12
Centaur,0.14
Chon,0.20
Comminuted,0.10
Coulee,0.14
Cubbies,0.16
Dob,0.14
Duan,0.10
Dubonnet,0.10
Earthman,0.33
Elt,0.20
Excellencies,0.16
Fountainhead,0.14
Gammas,0.75
Gawain,0.31
Gorgon,0.10
Goss,0.39
Grimoire,0.37
Hackman,0.10
Hak,0.10
Hebe,0.24
Hoosier,0.10
Hoppers,0.14
Hummers,0.10
Hurly,0.25
Jud,0.63
Lampoon,0.10
Leaguers,0.10
Lees,0.10
Lilo,1.55
Luddite,0.10
Mage,0.29
Maharishi,0.10
Mariposa,0.12
Mobil,0.14
Naugahyde,0.10
Necropolis,0.25
Nehru,0.10
Nong,0.31
Omicron,0.43
Parisians,0.22
Playland,0.10
Punisher,0.27
Rho,0.14
Riped,0.10
Ros,0.18
Rubicon,0.14
Schick,0.10
Sept,0.10
Shoji,0.37
Slt,0.10
Spearfish,0.24
Tangier,0.22
Togo,0.20
Tufts,0.16
Weeble,0.16
Wendigo,0.37
Whitewood,0.57
Zo,0.18
Aba,0.08
Achoo,0.10
Alvar,0.10
Amoroso,0.10
Archdeacon,0.12
Attababy,0.10
Autobahn,0.08
Beekeepers,0.08
Biffy,0.08
Biomedical,0.08
Blackman,0.16
Bolas,0.08
Bors,0.31
Bourne,1.18
Brasserie,0.10
Cabriolet,0.08
Cade,0.22
Cascades,0.10
Chiba,0.14
Circe,0.08
Clo,0.08
Coll,0.12
Comsat,0.08
Corning,0.14
Corsair,0.14
Cps,0.12
Cully,1.12
Deltas,0.12
Demagnetize,0.08
Dep,0.10
Divas,0.08
Dominator,0.18
Domine,0.10
Dotcom,0.20
Dulce,0.08
Eco,0.12
Ef,0.43
Elms,0.08
Enright,0.51
Flav,0.08
Fragrances,0.08
Gentles,0.24
Goa,0.20
Groundlings,0.08
Haggadah,0.18
Halfling,0.10
Haring,0.12
Harken,0.33
Havel,0.08
Herby,0.14
Hoon,0.12
Howler,0.08
Itll,0.10
Jakes,0.10
Jinny,0.10
Kan,0.53
Kanga,0.14
Kha,0.10
Koto,0.08
Legionnaire,0.08
Mab,0.57
Mademoiselles,0.08
Marlins,0.08
Midi,0.10
Minos,0.18
Moslem,0.10
Mot,0.08
Muskrats,0.10
Mutilator,0.12
Ohm,0.08
Palma,0.10
Papist,0.10
Parliaments,0.08
Pastis,0.10
Patria,0.27
Pinafore,0.08
Pleiades,0.12
Pleuritic,0.08
Plotter,0.08
Plutonic,0.14
Quasi,0.47
Quod,0.10
Quoth,0.08
Rall,0.08
Rel,0.18
Rimes,0.08
Rippers,0.31
Rooty,0.14
Ruths,0.08
Sargasso,0.08
Sb,0.08
Shee,0.27
Shylocks,0.08
Skeezix,0.08
Snipes,0.22
Spik,0.08
Stang,0.14
Stompers,0.12
Strewth,0.10
Strider,0.16
Thruway,0.08
Tibetans,0.22
Timberlands,0.12
Toodle,0.08
Umph,0.08
Warfarin,0.08
Wessel,0.12
Whar,0.08
Wintergreen,0.08
Witten,0.08
Youngstown,0.20
Zulus,0.10
Abdicating,0.06
Aggies,0.06
Alexia,0.49
Amaryllis,0.10
Americanized,0.06
Anaphylaxis,0.06
Anchorperson,0.18
Anglicized,0.06
Annas,0.06
Anno,0.06
Appellant,0.14
Aristo,0.16
Armagnac,0.06
Asphodel,0.08
Astrodome,0.10
Az,0.06
Bab,0.08
Bagger,0.06
Ballon,0.80
Bandbox,0.06
Barkers,0.06
Barrens,0.06
Batts,0.41
Beaky,0.57
Bioluminescence,0.06
Bioluminescent,0.06
Blackies,0.08
Blancmange,0.06
